full_address,name,salesman
"2615 1ST AVE NW, FAIRBAULT, MN 55021",FAIRBAULT TRANSPORTATION,Paul Fiereck
"PO BOX 87, MISSION, SD 57555",TODD COUNTY SCHOOL DISTRICT,Paul Fiereck
"1407 St John Ave, ALBERT LEA, MN 56007",Albert Lea Bus Company,Paul Fiereck
"103 NW DIVISION STREET, CHATFIELD, MN 55923",Bernards Bus Service Inc,Paul Fiereck
"2211 Edgewood Ave S, ST LOUIS PARK, MN 55426",St Louis Park Transportation,Paul Fiereck
"32611 NORTHFIELD BLVD, NORTHFIELD, MN 55057","BENJAMIN BUS SERVICE, INC.",Paul Fiereck
"6754 valley view road, EDINA, MN 55439",EDINA PUBLIC SCHOOL DISTRICT,Paul Fiereck
"1500 Travis Rd, MARSHALL, MN 56258","Southwest Coaches, Inc",Paul Fiereck
"5100 W 8TH STREET, SIOUX FALLS, SD 57107",SCHOOL BUS INC,Paul Fiereck
"7362 E POINT DOUGLAS ROAD S, COTTAGE GROVE, MN 55016",ISD 833 SOUTH WASHINGTON COUNTY SCHOOLS,Paul Fiereck
"4148 WINNETKA AVE NORTH, NEW HOPE, MN 55427",ROBBINSDALE AREA SCHOOLS ISD #281,Paul Fiereck
"1734 21ST ST, EDGERTON, MN 56128","HENDRIKS,MELVIN LEROY",Paul Fiereck
"79602 550th Ave, JACKSON, MN 56143",Southwest Coaches,Paul Fiereck
"115 S PARK ST SUITE 100, FAIRMONT, MN 56031",FAIRMONT PUBLIC SCHOOLS DIST #2752,Paul Fiereck
"550 ELIZABETH ST, EDGERTON, MN 56128",SOUTHWEST MINNESOTA CHRISTIAN HIGH,Paul Fiereck
"1400 North Dakota St, ABERDEEN, SD 57401",ABER CATHOLIC SCHOOL SYSTEM,Paul Fiereck
"1224 S 3RD ST, ABERDEEN, SD 57401",ABERDEEN,Paul Fiereck
"PO BOX 205, ONIDA, SD 57564",AGAR BLUNT ONIDA SD #58-3,Paul Fiereck
"PO BOX 198, 102ND E 5TH ST, ALCESTER, SD 57001",ALCESTER-HUDSON SCHOOL DISTRICT,Paul Fiereck
"400 School St, Lake Andes, SD 57356",ANDES CENTRAL SCHOOL DIST #11-1,Paul Fiereck
"306 S MAIN ST, ARLINGTON, SD 57212",ARLINTON,Paul Fiereck
"604 3RD ST, ARMOUR, SD 57313",ARMOUR SCHOOL,Paul Fiereck
"1224 N 1ST AVE, CALDWELL, ID 83605","ARMSTRONG,DANA AND CYNTHIA",Paul Fiereck
"210 N Pine St, Avon, SD 57315",AVON SCHOOL DISTRICT 4-1,Paul Fiereck
"2305 13TH AVE, BELLE FOURCHE, SD 57717",BELLE FOURCHE SCHOOL DISTRICT,Paul Fiereck
"402 2ND AVE, MARTIN, SD 57551",BENNETT COUNTY,Paul Fiereck
"301 W MAPLE ST, BERESFORD, SD 57004",BERESFORD SCHOOL DISTRICT,Paul Fiereck
"655 WALNUT ST, BIG STONE CITY, SD 57216",BIG STONE CITY,Paul Fiereck
"4640 N Lyndale Ave, Minneapolis, MN 55412",Bille Bus,Paul Fiereck
"200 E CARR ST, BISON, SD 57620",BISON SCHOOL DISTRICT,Paul Fiereck
"PO Box 134 540 HWY 218 S, BLOOMING PRAIRIE, MN 55924",Blooming Prairie Transportation-Sold to Owatonna Bus,Paul Fiereck
"960 N 10th St, Lake City, MN, MN 55041",Bluff Country Bus,Paul Fiereck
"1404 FIR ST, TYNDALL, SD 57006",BON HOMME SCHOOL DISTRICT-04-2,Paul Fiereck
"3083 2ND AVE, BOWDLE, SD 57428",BOWDLE SCOOL DISTRICT,Paul Fiereck
"130 N 6th St, Emery, SD 57332",BRIDGEWATER /EMERY,Paul Fiereck
"PO BOX 107, BRISTOL, SD 57219",BRISTOL SCHOOL DISTRICT-18-01,Paul Fiereck
"2310 8TH ST S, BROOKINGS, SD 57006",BROOKINGS SCHOOL DISTRICT -5-1,Paul Fiereck
"118 Church St S, Browns Valley, MN 56219",BROWNS VALLEY ISD 801 ( CONTRACTED TO SISSETON),Paul Fiereck
"900 WASHINGTON ST, BRUKE, SD 57523",BRUKE SCHOOL DISTRICT 26-2,Paul Fiereck
"1887 2ND AVE NW, BYRON, MN 55920",BYRON INDEPENDENT SCHOOL DIST 531,Paul Fiereck
"4919 HIGHWY 52 N, ROCHESTER, MN 55901",CITY KIDZ ACADEMY,Paul Fiereck
"1150 NORTHSHORE DR, NORTH SOUIX CITY, SD 57049",DAKOTA VALLEY SCHOOL DISTRICT,Paul Fiereck
"1216 N GARFIELD AVE, DELL RAPIDS, SD 57022",DELL RAPIDS SCHOOL DIST 49-3,Paul Fiereck
"405 3RD ST, DE SMET, SD 57231",DESMET SCHOOL DISTRICT #38-2,Paul Fiereck
"100 SCHOOL AVE, WHITE, SD 57276",DEUBROOK AREA SCHOOLS 5-6,Paul Fiereck
